Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,FPR
Autoencoder,0.9402203784646792,0.0031529164477141357,0.015267175572519083,0.005226480836236934,0.5902071758497567,0.05016660496112551
Isolation Forest,0.9412149606093124,0.0026838432635534087,0.01272264631043257,0.004432624113475178,0.6115567547649531,0.04913524091606283
Ensemble,0.9397492606066951,0.0026055237102657635,0.01272264631043257,0.004325259515570935,0.611505344695766,0.05061617390384514
